detection_count,mean_frp,max_frp,mean_brightness,max_brightness,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,land_cover_code,is_cropland,is_tree_cover,is_built_up,cropland_percentage,tree_cover_percentage,built_up_percentage,grassland_percentage,shrubland_percentage,bare_sparse_percentage,nearest_industrial_distance_km,nearby_industrial_facility_count,nearby_industrial_capacity_mw,cluster_id,centroid_lat,centroid_lon,fire_class
9,5.372222222222222,7.69,347.2077777777778,367.0,2,4,2.435403367908896,0.5,0.8,2.25,0.2910866331858702,46.77716582964675,20.0,0,0,0,2.801910843790995,28.326031533872925,0.1138585678572312,55.54317962426673,13.177891636345636,0.0371277938664884,93.1034877075965,0,0.0,411.0,24.358708888888888,79.43223222222224,AGRICULTURAL
2,1.345,2.26,317.96,332.65,2,3,1.0330808213266216,0.6666666666666666,0.6,0.6666666666666666,0.4918643614706286,48.629942370099045,10.0,0,1,0,0.9083933566000842,97.00502462810329,0.0,1.5197643622682606,0.5569169079973268,0.0099007450310635,71.95836376567615,0,0.0,519.0,21.40708,80.66239,AGRICULTURAL
2,0.585,0.86,302.95,308.25,1,1,0.3704213694066794,1.0,0.2,2.0,0.7297025734741335,57.24256433685334,10.0,0,1,0,1.487586940917304,76.75800103957823,2.3489517586198363,19.296552065542933,0.0049503725155317,0.1039578228261676,58.37844933090557,0,0.0,48.0,29.6528,79.16456500000001,WILDFIRE
4,8.7475,15.05,336.415,346.03,1,1,0.6909341909878792,1.0,0.2,4.0,0.5913890708045705,57.78472677011426,40.0,1,0,0,79.82970718546571,4.465236009009678,11.888319596049604,2.1039083191010124,1.49006212717507,0.2128660181678671,9.968296094974765,1,165.0,222.0,30.0140625,74.9600525,AGRICULTURAL
8,3.50125,5.97,328.11125,341.45,2,2,1.1266802772212476,1.0,0.4,4.0,0.470216426376331,59.75541065940829,10.0,0,1,0,0.2178163906833989,60.28811168040396,0.0693052152174451,39.38268854731318,0.0,0.0371277938664884,111.24778438898868,0,0.0,90.0,29.94830125,80.05579875,WILDFIRE
2,7.355,8.2,353.94,354.14,1,1,0.3395486606888703,1.0,0.2,2.0,0.7465200999012193,57.66300249753048,10.0,0,1,0,17.207494863988515,36.573352144748895,0.0,25.392935818420337,20.826217172842256,0.0,46.34742042784722,0,0.0,29.0,22.510935,76.60142,AGRICULTURAL
3,2.18,3.34,317.2933333333333,322.37,2,2,0.5347935827465099,1.0,0.4,1.5,0.6515534148966808,59.28883537241703,10.0,0,1,0,1.6781762827652782,81.06977550060643,1.913318977253038,14.77933714512017,0.0,0.5593920942550926,80.69103754537808,0,0.0,192.0,29.52273666666667,80.16486333333332,WILDFIRE
8,0.81,1.58,304.91375000000005,315.36,7,61,0.2273042927839968,0.1147540983606557,1.0,0.1311475409836065,0.8147938582791204,66.03437728198449,40.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9307729556208104,2,900.0,1.0,22.09000875,88.11081125000001,INDUSTRIAL
17,3.751176470588235,6.06,323.8105882352941,367.0,4,4,0.7097487967918821,1.0,0.1333333333333333,4.25,0.5848812421312231,71.57262484262446,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,,,,INDUSTRIAL
5,15.746,29.57,353.48400000000004,367.0,1,1,0.9942537904042832,1.0,0.2,5.0,0.5014406916570413,57.53601729142604,40.0,1,0,0,88.70077473329869,5.883517734709537,0.8514640726714685,4.5642434593203145,0.0,0.0,59.65463742749961,0,0.0,433.0,22.225942,79.266068,AGRICULTURAL
2,0.8400000000000001,1.05,308.625,309.09,1,1,0.540534593192546,1.0,0.2,2.0,0.6491253130042588,55.22813282510647,30.0,0,0,0,13.623425162743496,54.94913492240291,0.0,27.99188138907453,3.435558525779065,0.0,57.36919153254254,0,0.0,978.0,22.00545,77.07912999999999,AGRICULTURAL
6,4.633333333333334,8.42,342.71333333333337,367.0,2,2,1.6082687109681828,1.0,0.4,3.0,0.3833960802408286,55.58490200602072,40.0,1,0,0,86.88151283384074,10.190341823222198,2.7276552560580183,0.1311848716615925,0.0173263038043612,0.0049503725155317,18.30008057571185,0,0.0,76.0,29.12947833333333,79.16022833333334,WILDFIRE
3,8.936666666666667,10.21,350.0033333333334,351.1,1,1,0.5439959952699438,1.0,0.2,3.0,0.6476700736682711,57.191751841706775,30.0,0,0,0,1.9281700947996336,0.0544540976708497,0.0,95.34169946288458,2.6756763446449345,0.0,99.00315380697764,0,0.0,1175.0,23.617056666666667,79.38530333333334,AGRICULTURAL
2,5.54,5.54,345.385,346.03,1,1,0.383600891213489,1.0,0.2,2.0,0.7227517749883412,57.06879437470853,10.0,0,1,0,40.07574069948764,37.99410905670651,0.0,15.56397118883196,6.366179054973886,0.0,86.01489173787786,0,0.0,941.0,23.543685,78.138565,AGRICULTURAL
